manual_rating,domain,visit_count,sample_url,sample_title
Always Intentional,docs.google.com,3916,https://docs.google.com/document/u/0/,Google Docs
Mostly Distracted,youtube.com,2996,https://www.youtube.com/,(1) YouTube
Mostly Intentional,google.com,2792,https://www.google.com/maps,Google Maps
Neutrel,tab.gladly.io,2029,https://tab.gladly.io/,Tab for a Cause
Always Intentional,ggbaker.ca,1263,https://ggbaker.ca/data-science/,CMPT 353 Lecture Notes
Always Intentional,canvas.sfu.ca,913,https://canvas.sfu.ca/login/cas,SFU Multi-Factor Authentication - CAS – Central Authentication Service
Mostly Intentional,localhost:3000,452,http://localhost:3000/,Save Inn
Always Intentional,figma.com,368,https://www.figma.com/file/bMYAFkTYFAYASKGl8J3QSJ/SaveInn?node-id=0%3A1,SaveInn – Figma
Always Intentional,localhost:8888,338,http://localhost:8888/tree?token=922d8950ee426697c6a776a9c23cfd730e187db270d979a0,Home Page - Select or create a notebook
Always Distracted,ign.com,337,https://www.ign.com/wikis/pokemon-omega-ruby-alpha-sapphire/Mauville_City_Pokemon_Gym,Mauville City Pokemon Gym - Pokemon Omega Ruby and Alpha Sapphire Wiki Guide - IGN
Neutrel,mail.google.com,301,https://mail.google.com/mail/u/0/?tab=rm&ogbl,Inbox (50) - jgonzalez020801@gmail.com - Gmail
Always Intentional,coursys.sfu.ca,294,https://coursys.sfu.ca/,CourSys
Mostly Intentional,cas.sfu.ca,285,https://cas.sfu.ca/cas/login?service=https%3A%2F%2Fcanvas.sfu.ca%2Flogin%2Fcas,SFU Multi-Factor Authentication - CAS – Central Authentication Service
Mostly Intentional,idp.sfu.ca,241,https://idp.sfu.ca/idp/profile/SAML2/Redirect/SSO?execution=e1s1,SFU Multi-Factor Authentication - CAS – Central Authentication Service
Mostly Intentional,mail.sfu.ca,200,https://mail.sfu.ca/,SFU Multi-Factor Authentication - CAS – Central Authentication Service
Mostly Intentional,sims.erp.sfu.ca,180,https://sims.erp.sfu.ca/,goSFU
Mostly Intentional,myschedule.erp.sfu.ca,161,https://myschedule.erp.sfu.ca/,mySchedule
Always Distracted,netflix.com,159,https://www.netflix.com/browse,Netflix
Always Distracted,instagram.com,127,https://www.instagram.com/,Instagram
Always Intentional,cs.sfu.ca,125,https://www.cs.sfu.ca/~tzwang/teaching/cmpt454-fall22/zoom,Launch Meeting - Zoom
Mostly Distracted,vidanta.com,124,https://www.vidanta.com/,Vidanta - Vidanta
