manual_rating,domain,visit_count,sample_url,sample_title
Very Productive,docs.google.com,76491,https://docs.google.com/document/u/0/create,Untitled document - Google Docs
Productive,mail.google.com,10397,https://mail.google.com/mail/,Inbox (3) - nathantsai28@gmail.com - Gmail
Neutrel,google.com,8128,https://www.google.com/gmail/,Inbox (3) - nathantsai28@gmail.com - Gmail
Distracting,web.whatsapp.com,3401,https://web.whatsapp.com/,(1) WhatsApp
Distracting,messenger.com,2289,https://www.messenger.com/t/1453619294691384/,Currently Pausing Messenger
Distracting,discord.com,2237,https://discord.com/app,Discord
Distracting,linkedin.com,1804,https://linkedin.com/,LinkedIn
Very Productive,calendar.google.com,1672,https://calendar.google.com/calendar,Google Calendar - Week of 16 October 2022
Very Productive,github.com,1531,https://github.com/,GitHub
Very Productive,drive.google.com,1522,https://drive.google.com/drive/u/0/my-drive,My Drive - Google Drive
Very Distracting,facebook.com,1411,https://facebook.com/,Facebook
Very Productive,coursys.sfu.ca,1215,https://coursys.sfu.ca/2022sp-cmpt-353-d1/pages/,CourSys - CMPT 353: Computational Data Science
Neutrel,ljfdccdjpfjpfjbpdiihanpodilolofh,810,chrome-extension://ljfdccdjpfjpfjbpdiihanpodilolofh/html/pause.html?url=https%3A%2F%2Fwww.youtube.com%2F,Currently Pausing YouTube
Very Productive,ticktick.com,805,https://ticktick.com/webapp/#q/all/today/614f5f599c7ea50844438b52,Today - TickTick
Productive,stackoverflow.com,495,https://stackoverflow.com/,"Stack Overflow - Where Developers Learn, Share, & Build Careers"
Very Productive,ss.albernirentals.com,487,https://ss.albernirentals.com/,Log in | Smooth Shopping - House of Omeed
Very Productive,csil-git1.cs.surrey.sfu.ca,469,https://csil-git1.cs.surrey.sfu.ca/users/sign_in,Sign in · GitLab
Very Productive,avlionsauction.com,448,http://avlionsauction.com/,Welcome | Alberni Valley Lions Auction
Very Distracting,instagram.com,394,https://www.instagram.com/,Instagram
