manual_rating,domain,visit_count,sample_url
Mostly Distracted,google.com,1770,https://www.google.com/search?q=vivo+phone&client=safari&channel=mac_bm&source=hp&ei=KDLiYtndAd620PEPopGdyAw&iflsig=AJiK0e8AAAAAYuJAOL7mIx-g6tiap1lUALXEuOlSvmpB&ved=0ahUKEwjZkc3O_5r5AhVeGzQIHaJIB8kQ4dUDCAw&uact=5&oq=vivo+phone&gs_lcp=Cgdnd3Mtd2l6EAMyCAgAEIAEELEDMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIICAAQgAQQyQMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEOgsIABCABBCxAxCDAToICAAQsQMQgwE6CAguELEDEIMBOg4ILhCABBCxAxCDARDUAjoLCC4QgAQQsQMQgwE6CwguEIAEEMcBEK8BOhEILhCABBCxAxCDARDHARDRAzoOCC4QgAQQsQMQxwEQrwE6FAguEIAEELEDEIMBEMcBENEDENQCOggILhCABBDUAjoRCC4QgAQQsQMQgwEQxwEQrwE6CwguEIAEELEDENQCOg4ILhCxAxCDARDHARDRAzoLCC4QsQMQxwEQrwE6CAguEIAEELEDUABY5jxgkUVoAXAAeACAAUCIAcIEkgECMTGYAQCgAQE&sclient=gws-wiz
Always Distracted,youtube.com,1342,https://www.youtube.com/
Always Distracted,apnetv.to,1241,https://apnetv.to/Hindi-Serials?/Hindi-Serials
Always Distracted,netflix.com,791,https://www.netflix.com/ca/
Mostly Intentional,amazon.ca,677,https://www.amazon.ca/s?k=silicone+case+for+MacBook+air+m2&ref=nb_sb_noss
Neutrel,clockks.com,486,https://clockks.com/medium?utm_source=Facebook&utm_medium=social&utm_campaign=new&e=1055612&h=knilelgnishsalf
Mostly Distracted,apple.com,457,https://www.apple.com/ca/shop/go/home?&mnid=sEnMtlDRF-dc_mtid_1870765e38482_pcrid_610530344071_pgrid_39429562932_pntwk_g_pchan__pexid__&cid=aos-ca-kwGO-brand--slid---product-&mtid=1870765e38482&aosid=p238
Always Distracted,tellywebnews.com,441,https://tellywebnews.com/medium/?utm_source=Google&utm_medium=Search&utm_campaign=new&e=1150271&h=aamapuna
Mostly Intentional,my.shaadi.com,393,https://my.shaadi.com/profile-creation/step/1?
Always Distracted,apnetv.me,365,https://apnetv.me/Hindi-Serials
Always Intentional,gmail.com,283,https://mail.google.com/mail/?tab=wm
Mostly Intentional,nykaa.com,272,https://www.nykaa.com/
Always Intentional,fido.ca,219,https://www.fido.ca/myaccount
Mostly Intentional,facebook.com,175,https://www.facebook.com/
Neutrel,hinditwostop.com,135,http://hinditwostop.com/iss-pyar-ko-kya-naam-doon/?e=1032746&h=knilelgnisenpayalp
Neutrel,newsonground.com,131,https://newsonground.com/colors5/?utm_source=Google&utm_medium=Search&utm_campaign=new&e=1161141&h=61ssobggib
