manual_rating,domain,visit_count,sample_url,sample_title
Always Intentional,google.com,28401,https://www.google.ca/?client=safari&channel=iphone_bm,
Mostly Distracted,youtube.com,8736,https://www.youtube.com/results?search_query=punjabi+movies,
Mostly Intentional,docs.google.com,7041,https://docs.google.com/forms/d/e/1FAIpQLSe02k2soIrpO1E1Xn68ZtZFKqmgRPLXpl2koLGrWKK3kFqUMg/viewform,
Always Intentional,figma.com,4923,https://www.figma.com/file/jV9muPclbFdbMmYTY1469j/BUS238-Brainstorm?node-id=0%3A1,
Always Intentional,web.whatsapp.com,4365,https://web.whatsapp.com/,
Always Distracted,netflix.com,3878,https://www.netflix.com/ca/,
Always Intentional,canvas.sfu.ca,2447,https://canvas.sfu.ca/,
Always Intentional,github.com,2167,https://github.com/naveenrajceg13/Car-Rental-System---Database-Project/blob/master/Project_Report.pdf,
Always Intentional,localhost,1912,http://localhost/,
Mostly Intentional,freelancer.com,1499,https://www.freelancer.com/,
Neutrel,sims.erp.sfu.ca,1479,https://sims.erp.sfu.ca/psc/csprd/EMPLOYEE/SA/s/WEBLIB_SFU.ISCRIPT1.FieldFormula.IScript_CASSignin?&,
Mostly Intentional,myschedule.erp.sfu.ca,1386,https://myschedule.erp.sfu.ca/,
Neutrel,cas.sfu.ca,1130,https://cas.sfu.ca/cas/logout?LogoutRequestConfirmed=true,
Mostly Intentional,ggbaker.ca,953,https://ggbaker.ca/data-science/,
Always Intentional,coursys.sfu.ca,826,https://coursys.sfu.ca/,
Always Intentional,sfu.ca,750,https://www.sfu.ca/students/calendar/programs/sustainable-energy-engineering/major/bachelor-of-applied-science.html,
Always Intentional,lastmanstands.com,746,https://www.lastmanstands.com/play-cricket/t20/fixtures,
Mostly Intentional,gmail.com,701,https://mail.google.com/mail/u/0/#inbox,
